product_code,division,segment,category,product,variant
A0118150101,"P & A",Peripherals,"Internal HDD","AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard
A0118150102,"P & A",Peripherals,"Internal HDD","AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Plus
A0118150103,"P & A",Peripherals,"Internal HDD","AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Premium
A0118150104,"P & A",Peripherals,"Internal HDD","AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Premium Plus"
A0219150201,"P & A",Peripherals,"Internal HDD","AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard
A0219150202,"P & A",Peripherals,"Internal HDD","AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus
A0220150203,"P & A",Peripherals,"Internal HDD","AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium
A0320150301,"P & A",Peripherals,"Internal HDD","AQ Zion Saga",Standard
A0321150302,"P & A",Peripherals,"Internal HDD","AQ Zion Saga",Plus
A0321150303,"P & A",Peripherals,"Internal HDD","AQ Zion Saga",Premium
